sep=;
created;16-03-2018 13:38:51
DESCRIPTION;VALUE;UNIT
validity;Edition du vendredi 16.03.2018 à 14:00 valable pour les prochaines 24 heures.
description_global;Ciel variablement nuageux avec un risque d'averses. Pendant la nuit le ciel se couvre à nouveau par le nord avec un risque de quelques faibles bruines localisées. De la brume, voire du brouillard sont à prévoir.
description_wind;
description_humidity;
sunrise;06:47
sunset;18:42
moonrise;06:38
moonset;17:31
bulletin_display;14
description_road;Risque de conditions hivernales pour demain.
