NOM_MUSEE;GPS_X;gps_y
Horizon Tours;6,100519;49,519944
Musée des Tramways ;6,104412;49,599583
Amicale des Enrôlés de Force Parents et Amis deDudelange;6,085642;49,482409
Musée du Jouet;6,03078;50,053455
Les Amis du château de Vianden Asbl;6,207628;49,933996
Casino Luxembourg - Forum d'art contemporain;6,129477;49,610097
Musée de la Ville de Vianden et du Jouet;6,20258;49,933516
Lëtzebuerg City Museum;6,133499;49,610056
Tourist Center Robbesscheier;6,040862;50,0317
Fond-de-Gras (Parc Industriel et Ferroviaire);5,876334;49,555817
MUSÉE DE PRÉHISTOIRE;6,42213;49,812872
Musée National d'Histoire Militaire (MNHM);6,159022;49,870953
Musée Rural et Artisanal, Musée de Calèches Grande-Duchesse Charlotte, Forge et Métallurgie;6,129893;49,524039
Kulturhuef Asbl;6,448044;49,682919
Stater Muséeën;6,206849;49,62691
PostMusée;6,132608;49,599194
Bastogne Historical Center;5,738182;50,010326
Musée d'Art Moderne Grand-Duc Jean (MUDAM LUXEMBOURG);6,139826;49,616185
Musée Littéraire 'Victor Hugo';6,207792;49,93399
Europe Museum of Modern Art;6,365699;49,471862
Musée National d'Histoire et d'Art;6,133874;49,611736
Museum am Dom Trier ;6,644633;49,756347
Musée Dicks;6,20258;49,933516
Villa Vauban Musée d'Art de la Ville de Luxembourg;6,122824;49,612507
Musée et Maison du Vin Ehnen;6,421936;49,624996
General Patton Memorial Museum;6,104539;49,848678
Musée National d'Histoire Naturelle;6,135669;49,6098
Musée National des Mines de Fer;6,023555;49,461319
Musée National d'Art Brassicole et De La Tannerie;5,937082;49,966652
Musée Municipal;6,086019;49,479043
Musée National de la Résistance;5,976631;49,492589
Pesch Eugène;5,889531;49,524261
"Musée ""A Possen"" : Musée Folklorique et Viticole - Musée de Jouets";6,354425;49,53185
Musée de Calèches (Kutschemusee);6,131801;49,525198
Am tunnel (Galerie d'Art Contemporain);6,127862;49,605536
Musée de la Banque;6,127571;49,607177
Musée Les Mineurs Wendel;6,848336;49,208216
Pavillon du Centenaire;5,978193;49,505482
Atelier - Musée du Tabac;5,008462;49,796206
Villa Vauban - Musée d'Art de la Ville de Luxembourg;6,122824;49,612507
Musée des mines de fer;6,021981;49,316825
Musée des mines de fer;6,021981;49,316825
"Galerie ""les 3 ours""";5,718511;50,001955
Amis du château d'Esch-sur-Sûre (Les);5,93565;49,91066
Musée National d'Histoire et d'Art;5,945567;49,577482
Musée Amnéville;6,142436;49,260222
Association de préfiguration du Centre Pompidou-Metz;6,177363;49,120611
Musée International d'Effets de Gendarmerie et Police Asbl;5,987788;49,645361
Musée de l'Aviation Luxembourgeoise;6,281986;49,501989
Musée Dräi Eechelen;6,139264;49,616369
Mine de Cuivre;6,16621;49,967591
Frënn vum Brennereimüsee Asbl;6,031758;49,668766
Musée The Family of Man;6,030012;50,054533
Musée The Bitter Years;6,082575;49,474909
Naturpark Öewersauer;5,931011;49,907099
Schengen - Musée Européen;6,366266;49,470979
Musée d'Histoire(s) Diekirch;6,162088;49,868702
Musée de la Draperie;5,931011;49,907099
CNA - Centre National de l'Audiovisuel;6,082575;49,474909
Ettelbruck City Tourist Office;6,101169;49,846932
Domaine du Moulin d'Asselborn;5,974434;50,096057
Stadtmuseum Simeonstift Trier;6,643545;49,759413
Diligentia-Areal;6,499421;49,743437
Valentiny Foundation;6,35203;49,491148
Musée Thillenvogtei Sàrl;5,900095;49,849538
Les Amis du Musée Henri Tudor Asbl;6,499933;49,804436
Les Amis de la Maison de Victor Hugo à Vianden Asbl;6,207792;49,93399
385th Bomb Group Memorial Museum Perlé Asbl;5,771466;49,828572
Daniela Del Fabbro;6,167555;49,58682
Musée Tudor;6,499933;49,804436
Fondation Musée National de la Résistance ;5,9825;49,497508
Musée Rural A Schiewesch Asbl;6,036308;50,11729
